index,carat,cut,color,clarity,depth,table,x,y,z,price
66,0.28,Ideal,G,VVS2,61.4,56.0,4.19,4.22,2.58,Very Low
67,0.32,Ideal,I,VVS1,62.0,55.3,4.39,4.42,2.73,Very Low
68,0.31,Very Good,G,SI1,63.3,57.0,4.33,4.3,2.73,Very Low
69,0.31,Premium,G,SI1,61.8,58.0,4.35,4.32,2.68,Very Low
70,0.24,Premium,E,VVS1,60.7,58.0,4.01,4.03,2.44,Very Low
71,0.24,Very Good,D,VVS1,61.5,60.0,3.97,4.0,2.45,Very Low
72,0.3,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.7,Very Low
73,0.3,Premium,H,SI1,62.9,59.0,4.28,4.24,2.68,Very Low
74,0.3,Premium,H,SI1,62.5,57.0,4.29,4.25,2.67,Very Low
75,0.3,Good,H,SI1,63.7,57.0,4.28,4.26,2.72,Very Low
76,0.26,Very Good,F,VVS2,59.2,60.0,4.19,4.22,2.49,Very Low
77,0.26,Very Good,E,VVS2,59.9,58.0,4.15,4.23,2.51,Very Low
78,0.26,Very Good,D,VVS2,62.4,54.0,4.08,4.13,2.56,Very Low
79,0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53,Very Low
80,0.26,Very Good,E,VVS1,62.6,59.0,4.06,4.09,2.55,Very Low
81,0.26,Very Good,E,VVS1,63.4,59.0,4.0,4.04,2.55,Very Low
82,0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53,Very Low
83,0.26,Ideal,E,VVS2,62.9,58.0,4.02,4.06,2.54,Very Low
84,0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87,Very Low
85,0.26,Good,E,VVS1,57.9,60.0,4.22,4.25,2.45,Very Low
86,0.24,Premium,G,VVS1,62.3,59.0,3.95,3.92,2.45,Very Low
87,0.24,Premium,H,VVS1,61.2,58.0,4.01,3.96,2.44,Very Low
88,0.24,Premium,H,VVS1,60.8,59.0,4.02,4.0,2.44,Very Low
89,0.24,Premium,H,VVS2,60.7,58.0,4.07,4.04,2.46,Very Low
90,0.32,Premium,I,SI1,62.9,58.0,4.35,4.33,2.73,Very Low
91,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,Very Low
92,0.86,Fair,E,SI2,55.1,69.0,6.45,6.33,3.52,Very Low
93,0.7,Ideal,G,VS2,61.6,56.0,5.7,5.67,3.5,Very Low
94,0.71,Very Good,E,VS2,62.4,57.0,5.68,5.73,3.56,Very Low
95,0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72,Very Low
96,0.7,Good,E,VS2,57.5,58.0,5.85,5.9,3.38,Very Low
97,0.7,Good,F,VS1,59.4,62.0,5.71,5.76,3.4,Very Low
98,0.96,Fair,F,SI2,66.3,62.0,6.27,5.95,4.07,Very Low
99,0.73,Very Good,E,SI1,61.6,59.0,5.77,5.78,3.56,Very Low
100,0.8,Premium,H,SI1,61.5,58.0,5.97,5.93,3.66,Very Low
101,0.75,Very Good,D,SI1,63.2,56.0,5.8,5.75,3.65,Very Low
102,0.75,Premium,E,SI1,59.9,54.0,6.0,5.96,3.58,Very Low
103,0.74,Ideal,G,SI1,61.6,55.0,5.8,5.85,3.59,Very Low
104,0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59,Very Low
105,0.8,Ideal,I,VS1,62.9,56.0,5.94,5.87,3.72,Very Low
106,0.75,Ideal,G,SI1,62.2,55.0,5.87,5.8,3.63,Very Low
107,0.8,Premium,G,SI1,63.0,59.0,5.9,5.81,3.69,Very Low
108,0.74,Ideal,I,VVS2,62.3,55.0,5.77,5.81,3.61,Very Low
109,0.81,Ideal,F,SI2,58.8,57.0,6.14,6.11,3.6,Very Low
110,0.59,Ideal,E,VVS2,62.0,55.0,5.38,5.43,3.35,Very Low
111,0.8,Ideal,F,SI2,61.4,57.0,5.96,6.0,3.67,Very Low
112,0.74,Ideal,E,SI2,62.2,56.0,5.8,5.84,3.62,Very Low
113,0.9,Premium,I,VS2,63.0,58.0,6.16,6.12,3.87,Very Low
114,0.74,Very Good,G,SI1,62.2,59.0,5.73,5.82,3.59,Very Low
115,0.73,Ideal,F,VS2,62.6,56.0,5.77,5.74,3.6,Very Low
116,0.73,Ideal,F,VS2,62.7,53.0,5.8,5.75,3.62,Very Low
117,0.8,Premium,F,SI2,61.7,58.0,5.98,5.94,3.68,Very Low
118,0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58,Very Low
119,0.7,Ideal,E,VS2,60.7,58.0,5.73,5.76,3.49,Very Low
120,0.8,Ideal,F,SI2,59.9,59.0,6.01,6.07,3.62,Very Low
121,0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56,Very Low
122,0.74,Ideal,E,SI1,62.3,54.0,5.8,5.83,3.62,Very Low
123,0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47,Very Low
124,0.7,Fair,F,VS2,64.5,57.0,5.57,5.53,3.58,Very Low
125,0.7,Fair,F,VS2,65.3,55.0,5.63,5.58,3.66,Very Low
126,0.7,Premium,F,VS2,61.6,60.0,5.65,5.59,3.46,Very Low
127,0.91,Premium,H,SI1,61.4,56.0,6.09,5.97,3.7,Very Low
128,0.61,Very Good,D,VVS2,59.6,57.0,5.56,5.58,3.32,Very Low
129,0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93,Very Low
130,0.91,Fair,H,SI2,65.7,60.0,6.03,5.99,3.95,Very Low
131,0.77,Ideal,H,VS2,62.0,56.0,5.89,5.86,3.64,Very Low
132,0.71,Very Good,D,SI1,63.6,58.0,5.64,5.68,3.6,Very Low
133,0.71,Ideal,D,SI1,61.9,59.0,5.69,5.72,3.53,Very Low
134,0.7,Very Good,E,VS2,62.6,60.0,5.62,5.65,3.53,Very Low
135,0.77,Very Good,H,VS1,61.3,60.0,5.88,5.9,3.61,Very Low
136,0.63,Premium,E,VVS1,60.9,60.0,5.52,5.55,3.37,Very Low
137,0.71,Very Good,F,VS1,60.1,62.0,5.74,5.77,3.46,Very Low
138,0.71,Premium,F,VS1,61.8,59.0,5.69,5.73,3.53,Very Low
139,0.76,Ideal,H,SI1,61.2,57.0,5.88,5.91,3.61,Very Low
140,0.64,Ideal,G,VVS1,61.9,56.0,5.53,5.56,3.43,Very Low
141,0.71,Premium,G,VS2,60.9,57.0,5.78,5.75,3.51,Very Low
142,0.71,Premium,G,VS2,59.8,56.0,5.89,5.81,3.5,Very Low
143,0.7,Very Good,D,VS2,61.8,55.0,5.68,5.72,3.52,Very Low
144,0.7,Very Good,F,VS1,60.0,57.0,5.8,5.87,3.5,Very Low
145,0.71,Ideal,D,SI2,61.6,55.0,5.74,5.76,3.54,Very Low
146,0.7,Good,H,VVS2,62.1,64.0,5.62,5.65,3.5,Very Low
147,0.71,Very Good,G,VS1,63.3,59.0,5.52,5.61,3.52,Very Low
148,0.73,Very Good,D,SI1,60.2,56.0,5.83,5.87,3.52,Very Low
149,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,Very Low
150,0.7,Ideal,E,SI1,60.9,57.0,5.73,5.76,3.5,Very Low
151,0.71,Premium,D,SI2,61.7,59.0,5.71,5.67,3.51,Very Low
152,0.74,Ideal,I,SI1,61.3,56.0,5.82,5.86,3.57,Very Low
153,0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52,Very Low
154,0.73,Premium,G,VS2,61.4,59.0,5.83,5.76,3.56,Very Low
155,0.76,Very Good,F,SI1,62.9,57.0,5.79,5.81,3.65,Very Low
156,0.76,Ideal,D,SI2,62.4,57.0,5.78,5.83,3.62,Very Low
157,0.71,Ideal,F,SI1,60.7,56.0,5.77,5.8,3.51,Very Low
158,0.73,Premium,G,VS2,60.7,58.0,5.87,5.82,3.55,Very Low
159,0.73,Premium,G,VS1,61.5,58.0,5.79,5.75,3.55,Very Low
160,0.73,Ideal,D,SI2,59.9,57.0,5.92,5.89,3.54,Very Low
161,0.73,Premium,G,VS2,59.2,59.0,5.92,5.87,3.49,Very Low
162,0.72,Very Good,H,VVS2,60.3,56.0,5.81,5.83,3.51,Very Low
163,0.73,Very Good,F,SI1,61.7,60.0,5.79,5.82,3.58,Very Low
164,0.71,Ideal,G,VS2,61.9,57.0,5.73,5.77,3.56,Very Low
165,0.79,Ideal,F,SI2,61.9,55.0,5.97,5.92,3.68,Very Low
166,0.73,Very Good,H,VVS1,60.4,59.0,5.83,5.89,3.54,Very Low
167,0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67,Very Low
168,0.58,Ideal,G,VVS1,61.5,55.0,5.39,5.44,3.33,Very Low
169,0.58,Ideal,F,VVS1,61.7,56.0,5.33,5.37,3.3,Very Low
170,0.71,Good,E,VS2,59.2,61.0,5.8,5.88,3.46,Very Low
171,0.75,Ideal,D,SI2,61.3,56.0,5.85,5.89,3.6,Very Low
172,0.7,Premium,D,VS2,58.0,62.0,5.87,5.78,3.38,Very Low
173,1.17,Very Good,J,I1,60.2,61.0,6.83,6.9,4.13,Very Low
174,0.6,Ideal,E,VS1,61.7,55.0,5.41,5.44,3.35,Very Low
175,0.7,Ideal,E,SI1,62.7,55.0,5.68,5.74,3.58,Very Low
176,0.83,Good,I,VS2,64.6,54.0,5.85,5.88,3.79,Very Low
177,0.74,Very Good,F,VS2,61.3,61.0,5.8,5.84,3.57,Very Low
178,0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61,Very Low
179,0.71,Premium,E,VS2,62.7,58.0,5.74,5.68,3.58,Very Low
180,0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55,Very Low
181,0.54,Ideal,E,VVS2,61.6,56.0,5.25,5.27,3.24,Very Low
182,0.54,Ideal,E,VVS2,61.5,57.0,5.24,5.26,3.23,Very Low
183,0.72,Ideal,G,SI1,61.8,56.0,5.72,5.75,3.55,Very Low
184,0.72,Ideal,G,SI1,60.7,56.0,5.79,5.82,3.53,Very Low
185,0.72,Good,G,VS2,59.7,60.5,5.8,5.84,3.47,Very Low
186,0.71,Ideal,G,SI1,60.5,56.0,5.8,5.76,3.5,Very Low
187,0.7,Very Good,D,VS1,62.7,58.0,5.66,5.73,3.57,Very Low
188,0.71,Premium,F,VS2,62.1,58.0,5.67,5.7,3.53,Very Low
189,0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56,Very Low
190,0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,Very Low
191,0.71,Good,F,VS2,57.8,60.0,5.87,5.9,3.4,Very Low
192,0.7,Ideal,E,VS2,62.1,55.0,5.7,5.67,3.53,Very Low
193,0.7,Premium,E,VS2,61.1,60.0,5.71,5.64,3.47,Very Low
194,0.7,Premium,E,SI1,60.0,59.0,5.79,5.75,3.46,Very Low
195,0.7,Premium,E,SI1,61.2,57.0,5.73,5.68,3.49,Very Low
196,0.7,Premium,E,SI1,62.7,59.0,5.67,5.63,3.54,Very Low
197,0.7,Premium,E,SI1,61.0,57.0,5.73,5.68,3.48,Very Low
198,0.7,Premium,E,SI1,61.0,58.0,5.78,5.72,3.51,Very Low
199,0.7,Ideal,E,SI1,61.4,57.0,5.76,5.7,3.52,Very Low
200,0.72,Premium,F,SI1,61.8,61.0,5.82,5.71,3.56,Very Low
201,0.7,Very Good,E,SI1,59.9,63.0,5.76,5.7,3.43,Very Low
202,0.7,Premium,E,SI1,61.3,58.0,5.71,5.68,3.49,Very Low
203,0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48,Very Low
204,0.7,Good,E,VS2,64.1,59.0,5.64,5.59,3.6,Very Low
205,0.98,Fair,H,SI2,67.9,60.0,6.05,5.97,4.08,Very Low
206,0.78,Premium,F,SI1,62.4,58.0,5.83,5.8,3.63,Very Low
207,0.7,Very Good,E,SI1,63.2,60.0,5.6,5.51,3.51,Very Low
208,0.52,Ideal,F,VVS1,61.3,55.0,5.19,5.22,3.19,Very Low
209,0.73,Very Good,H,VS2,60.8,56.0,5.82,5.84,3.55,Very Low
210,0.74,Ideal,E,SI1,61.7,56.0,5.84,5.8,3.59,Very Low
211,0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58,Very Low
212,0.77,Premium,G,VS2,61.2,58.0,5.9,5.93,3.62,Very Low
213,0.71,Ideal,F,VS2,62.1,54.0,5.68,5.72,3.54,Very Low
214,0.74,Ideal,G,VS1,61.5,55.0,5.81,5.86,3.59,Very Low
215,0.7,Ideal,G,VS1,61.4,59.0,5.64,5.73,3.49,Very Low
216,1.01,Premium,F,I1,61.8,60.0,6.39,6.36,3.94,Very Low
217,0.77,Ideal,H,SI1,62.2,56.0,5.83,5.88,3.64,Very Low
218,0.78,Ideal,H,SI1,61.2,56.0,5.92,5.99,3.64,Very Low
219,0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,Very Low
220,0.53,Very Good,D,VVS2,57.5,64.0,5.34,5.37,3.08,Very Low
221,0.76,Ideal,G,VS2,61.3,56.0,5.9,5.94,3.63,Very Low
222,0.7,Good,E,VS1,57.2,62.0,5.81,5.77,3.31,Very Low
223,0.7,Premium,E,VS1,62.9,60.0,5.62,5.54,3.51,Very Low
224,0.75,Very Good,D,SI2,63.1,58.0,5.78,5.73,3.63,Very Low
225,0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.5,Very Low
226,0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58,Very Low
227,0.7,Premium,D,SI1,62.8,60.0,5.68,5.66,3.56,Very Low
228,0.84,Fair,G,SI1,55.1,67.0,6.39,6.2,3.47,Very Low
229,0.75,Premium,F,SI1,61.4,59.0,5.88,5.85,3.6,Very Low
230,0.52,Ideal,F,IF,62.2,55.0,5.14,5.18,3.21,Very Low
231,0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6,Very Low
232,0.79,Very Good,H,VS1,63.7,56.0,5.85,5.92,3.75,Very Low
233,0.72,Very Good,F,VS2,63.6,58.0,5.66,5.69,3.61,Very Low
234,0.51,Ideal,F,VVS1,62.0,57.0,5.11,5.15,3.18,Very Low
235,0.64,Ideal,D,VS1,61.5,56.0,5.54,5.55,3.41,Very Low
236,0.7,Very Good,H,VVS1,60.5,60.0,5.74,5.77,3.48,Very Low
237,0.83,Very Good,I,VS1,61.1,60.0,6.07,6.1,3.72,Very Low
238,0.76,Ideal,I,VVS2,61.8,56.0,5.85,5.87,3.62,Very Low
239,0.71,Good,D,VS2,63.3,56.0,5.64,5.68,3.58,Very Low
240,0.77,Good,G,VS1,59.4,64.0,5.97,5.92,3.53,Very Low
241,0.71,Ideal,F,SI1,62.5,55.0,5.71,5.65,3.55,Very Low
242,1.01,Fair,E,I1,64.5,58.0,6.29,6.21,4.03,Very Low
243,1.01,Premium,H,SI2,62.7,59.0,6.31,6.22,3.93,Very Low
244,0.77,Good,F,SI1,64.2,52.0,5.81,5.77,3.72,Very Low
245,0.76,Good,E,SI1,63.7,54.0,5.76,5.85,3.7,Very Low
246,0.76,Premium,E,SI1,60.4,58.0,5.92,5.94,3.58,Very Low
247,0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61,Very Low
248,1.05,Very Good,J,SI2,63.2,56.0,6.49,6.45,4.09,Very Low
249,0.81,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69,Very Low
250,0.7,Ideal,E,SI1,61.6,56.0,5.72,5.75,3.53,Very Low
251,0.55,Ideal,G,IF,60.9,57.0,5.28,5.3,3.22,Very Low
252,0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64,Very Low
253,0.63,Premium,E,VVS2,62.1,57.0,5.48,5.41,3.38,Very Low
254,0.63,Premium,E,VVS1,60.9,60.0,5.55,5.52,3.37,Very Low
255,0.77,Premium,H,VS1,61.3,60.0,5.9,5.88,3.61,Very Low
256,1.05,Fair,J,SI2,65.8,59.0,6.41,6.27,4.18,Very Low
257,0.64,Ideal,G,IF,61.3,56.0,5.54,5.58,3.41,Very Low
258,0.76,Premium,I,VVS1,58.8,59.0,6.0,5.94,3.51,Very Low
259,0.83,Ideal,F,SI2,62.3,55.0,6.02,6.05,3.76,Very Low
260,0.71,Premium,F,VS1,60.1,62.0,5.77,5.74,3.46,Very Low
261,0.71,Premium,F,VS1,61.8,59.0,5.73,5.69,3.53,Very Low
262,0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87,Very Low
263,0.73,Ideal,E,SI1,62.2,56.0,5.74,5.78,3.58,Very Low
264,0.71,Premium,E,SI1,59.2,59.0,5.83,5.86,3.46,Very Low
265,0.71,Premium,E,SI1,61.8,59.0,5.7,5.75,3.54,Very Low
266,0.71,Ideal,E,SI1,61.3,55.0,5.72,5.77,3.52,Very Low
267,0.7,Premium,F,VS1,62.1,60.0,5.71,5.65,3.53,Very Low
268,0.7,Premium,F,VS1,60.7,60.0,5.78,5.75,3.5,Very Low
269,0.76,Premium,H,VVS2,59.6,57.0,5.91,5.86,3.51,Very Low
270,0.7,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55,Very Low
271,0.79,Very Good,G,SI1,60.6,57.0,5.98,6.06,3.65,Very Low
272,0.7,Very Good,E,VS2,62.9,57.0,5.66,5.69,3.57,Very Low
273,0.7,Good,E,VS2,64.1,55.0,5.6,5.66,3.61,Very Low
274,0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61,Very Low
275,0.73,Ideal,H,VS2,62.7,55.0,5.72,5.76,3.6,Very Low
276,0.79,Very Good,E,SI1,63.2,56.0,5.91,5.86,3.72,Very Low
277,0.71,Very Good,E,VS2,60.7,56.0,5.81,5.82,3.53,Very Low
278,0.81,Premium,I,VVS2,61.9,60.0,5.91,5.86,3.64,Very Low
279,0.81,Ideal,F,SI2,62.6,55.0,5.92,5.96,3.72,Very Low
280,0.72,Good,F,VS1,60.7,60.0,5.74,5.72,3.48,Very Low
281,0.72,Premium,D,SI2,62.0,60.0,5.73,5.69,3.54,Very Low
282,0.72,Premium,I,IF,63.0,57.0,5.72,5.7,3.6,Very Low
283,0.81,Premium,H,VS2,58.0,59.0,6.17,6.13,3.57,Very Low
284,0.72,Premium,G,VS2,62.9,57.0,5.73,5.65,3.58,Very Low
285,1.0,Premium,I,SI2,58.2,60.0,6.61,6.55,3.83,Very Low
286,0.73,Good,E,SI1,63.2,58.0,5.7,5.76,3.62,Very Low
287,0.81,Very Good,H,SI2,61.3,59.0,5.94,6.01,3.66,Very Low
288,0.81,Very Good,E,SI1,60.3,60.0,6.07,6.1,3.67,Very Low
289,0.71,Premium,D,SI1,62.7,60.0,5.67,5.71,3.57,Very Low
290,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,Very Low
291,0.71,Premium,D,SI1,61.6,60.0,5.74,5.69,3.52,Very Low
292,0.57,Ideal,F,VVS2,61.9,55.0,5.34,5.35,3.31,Very Low
293,0.51,Ideal,D,VVS1,61.7,56.0,5.12,5.16,3.17,Very Low
294,0.72,Ideal,G,VS2,61.9,58.0,5.72,5.75,3.55,Very Low
295,0.74,Ideal,H,VS1,61.8,58.0,5.77,5.81,3.58,Very Low
296,0.74,Ideal,H,VS1,61.6,56.0,5.81,5.82,3.58,Very Low
297,0.7,Fair,G,VVS1,58.8,66.0,5.81,5.9,3.44,Very Low
298,0.8,Premium,F,SI2,61.0,57.0,6.03,6.01,3.67,Very Low
299,1.01,Fair,E,SI2,67.4,60.0,6.19,6.05,4.13,Very Low
300,0.8,Very Good,H,VS2,63.4,60.0,5.92,5.82,3.72,Very Low
301,0.77,Ideal,I,VS1,61.5,59.0,5.87,5.91,3.62,Very Low
302,0.83,Very Good,E,SI2,58.0,62.0,6.19,6.25,3.61,Very Low
303,0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,Very Low
304,0.78,Ideal,D,SI1,61.9,57.0,5.91,5.86,3.64,Very Low
305,0.6,Very Good,G,IF,61.6,56.0,5.43,5.46,3.35,Very Low
306,0.9,Good,I,SI2,62.2,59.0,6.07,6.11,3.79,Very Low
307,0.7,Premium,E,VS1,62.2,58.0,5.6,5.66,3.5,Very Low
308,0.9,Very Good,I,SI2,61.3,56.0,6.17,6.23,3.8,Very Low
309,0.83,Ideal,G,SI1,62.3,57.0,5.99,6.08,3.76,Very Low
310,0.83,Ideal,G,SI1,61.8,57.0,6.03,6.07,3.74,Very Low
311,0.83,Very Good,H,SI1,62.5,59.0,5.95,6.02,3.74,Very Low
312,0.74,Premium,G,VS1,62.9,60.0,5.74,5.68,3.59,Very Low
313,0.79,Ideal,I,VS1,61.8,59.0,5.92,5.95,3.67,Very Low
314,0.61,Ideal,G,IF,62.3,56.0,5.43,5.45,3.39,Very Low
315,0.76,Fair,G,VS1,59.0,70.0,5.89,5.8,3.46,Very Low
316,0.96,Ideal,F,I1,60.7,55.0,6.37,6.41,3.88,Very Low
317,0.73,Ideal,F,VS2,62.5,55.0,5.8,5.76,3.61,Very Low
318,0.73,Premium,F,VS2,62.7,58.0,5.76,5.7,3.59,Very Low
319,0.75,Ideal,H,SI1,60.4,57.0,5.93,5.96,3.59,Very Low
320,0.71,Premium,F,VS2,62.1,58.0,5.7,5.67,3.53,Very Low
321,0.71,Good,F,VS2,57.8,60.0,5.9,5.87,3.4,Very Low
322,0.71,Good,F,VS2,63.8,58.0,5.64,5.61,3.59,Very Low
323,0.71,Premium,F,VS2,62.8,57.0,5.69,5.64,3.56,Very Low
324,1.04,Premium,G,I1,62.2,58.0,6.46,6.41,4.0,Very Low
325,1.0,Premium,J,SI2,62.3,58.0,6.45,6.34,3.98,Very Low
326,0.87,Very Good,G,SI2,59.9,58.0,6.19,6.23,3.72,Very Low
327,0.53,Ideal,F,IF,61.9,54.0,5.22,5.25,3.24,Very Low
328,0.72,Premium,E,VS2,63.0,55.0,5.79,5.61,3.59,Very Low
329,0.72,Premium,F,VS1,62.4,58.0,5.83,5.7,3.6,Very Low
330,0.7,Very Good,F,VS2,62.9,58.0,5.63,5.65,3.55,Very Low
331,0.74,Very Good,E,SI1,63.5,56.0,5.74,5.79,3.66,Very Low
332,0.71,Ideal,G,VS2,61.3,56.0,5.75,5.71,3.51,Very Low
333,0.73,Ideal,E,SI1,60.6,54.0,5.84,5.89,3.55,Very Low
334,0.7,Good,G,VS1,65.1,58.0,5.56,5.59,3.63,Very Low
335,0.71,Premium,F,VS2,62.6,58.0,5.7,5.67,3.56,Very Low
